time,base_time,time_offset,lat,lon,alt
2023-06-10 17:08:07,2023-06-10,2023-06-10 17:08:07,38.92202,-106.9509,2764.0
2023-06-10 17:08:08,2023-06-10,2023-06-10 17:08:08,38.92202,-106.9509,2764.0
2023-06-10 17:08:09,2023-06-10,2023-06-10 17:08:09,38.92202,-106.9509,2764.0
2023-06-10 17:08:10,2023-06-10,2023-06-10 17:08:10,38.92202,-106.9509,2764.0
2023-06-10 17:08:11,2023-06-10,2023-06-10 17:08:11,38.92202,-106.9509,2764.0
2023-06-10 17:08:12,2023-06-10,2023-06-10 17:08:12,38.92202,-106.9509,2764.0
2023-06-10 17:08:13,2023-06-10,2023-06-10 17:08:13,38.92202,-106.9509,2764.0
2023-06-10 17:08:14,2023-06-10,2023-06-10 17:08:14,38.92202,-106.9509,2764.0
2023-06-10 17:08:15,2023-06-10,2023-06-10 17:08:15,38.92202,-106.9509,2764.0
2023-06-10 17:08:16,2023-06-10,2023-06-10 17:08:16,38.92202,-106.9509,2764.0
2023-06-10 17:08:17,2023-06-10,2023-06-10 17:08:17,38.92202,-106.9509,2764.0
2023-06-10 17:08:18,2023-06-10,2023-06-10 17:08:18,38.92202,-106.9509,2764.0
2023-06-10 17:08:19,2023-06-10,2023-06-10 17:08:19,38.92202,-106.9509,2764.0
2023-06-10 17:08:20,2023-06-10,2023-06-10 17:08:20,38.92202,-106.9509,2764.0
2023-06-10 17:08:21,2023-06-10,2023-06-10 17:08:21,38.92202,-106.9509,2764.0
2023-06-10 17:08:22,2023-06-10,2023-06-10 17:08:22,38.92202,-106.9509,2764.0
2023-06-10 17:08:23,2023-06-10,2023-06-10 17:08:23,38.92202,-106.9509,2764.0
2023-06-10 17:08:24,2023-06-10,2023-06-10 17:08:24,38.92202,-106.9509,2764.0
2023-06-10 17:08:25,2023-06-10,2023-06-10 17:08:25,38.92202,-106.9509,2764.0
2023-06-10 17:08:26,2023-06-10,2023-06-10 17:08:26,38.92202,-106.9509,2764.0
2023-06-10 17:08:27,2023-06-10,2023-06-10 17:08:27,38.92202,-106.9509,2764.0
2023-06-10 17:08:28,2023-06-10,2023-06-10 17:08:28,38.92202,-106.9509,2764.0
2023-06-10 17:08:29,2023-06-10,2023-06-10 17:08:29,38.92202,-106.9509,2764.0
2023-06-10 17:08:30,2023-06-10,2023-06-10 17:08:30,38.92202,-106.9509,2764.0
2023-06-10 17:08:31,2023-06-10,2023-06-10 17:08:31,38.92202,-106.9509,2764.0
2023-06-10 17:08:32,2023-06-10,2023-06-10 17:08:32,38.92202,-106.9509,2764.0
2023-06-10 17:08:33,2023-06-10,2023-06-10 17:08:33,38.92202,-106.9509,2764.0
2023-06-10 17:08:34,2023-06-10,2023-06-10 17:08:34,38.92202,-106.9509,2764.0
2023-06-10 17:08:35,2023-06-10,2023-06-10 17:08:35,38.92202,-106.9509,2764.0
2023-06-10 17:08:36,2023-06-10,2023-06-10 17:08:36,38.92202,-106.9509,2764.0
2023-06-10 17:08:37,2023-06-10,2023-06-10 17:08:37,38.92202,-106.9509,2764.0
2023-06-10 17:08:38,2023-06-10,2023-06-10 17:08:38,38.92202,-106.9509,2764.0
2023-06-10 17:08:39,2023-06-10,2023-06-10 17:08:39,38.92202,-106.9509,2764.0
2023-06-10 17:08:40,2023-06-10,2023-06-10 17:08:40,38.92202,-106.9509,2764.0
2023-06-10 17:08:41,2023-06-10,2023-06-10 17:08:41,38.92202,-106.9509,2764.0
2023-06-10 17:08:42,2023-06-10,2023-06-10 17:08:42,38.92202,-106.9509,2764.0
2023-06-10 17:08:43,2023-06-10,2023-06-10 17:08:43,38.92202,-106.9509,2764.0
2023-06-10 17:08:44,2023-06-10,2023-06-10 17:08:44,38.92202,-106.9509,2764.0
2023-06-10 17:08:45,2023-06-10,2023-06-10 17:08:45,38.92202,-106.9509,2764.0
2023-06-10 17:08:46,2023-06-10,2023-06-10 17:08:46,38.92202,-106.9509,2764.0
2023-06-10 17:08:47,2023-06-10,2023-06-10 17:08:47,38.92202,-106.9509,2764.0
2023-06-10 17:08:48,2023-06-10,2023-06-10 17:08:48,38.92202,-106.9509,2764.0
2023-06-10 17:08:49,2023-06-10,2023-06-10 17:08:49,38.92202,-106.9509,2764.0
